"country","naics","industry_name","year","GDP in Current Prices (Millions)","Cost of Capital (Millions)","Cost of ICT Capital (Millions)","Cost of non-ICT Capital (Millions)","Cost of Labour (Millions)","Hours Worked (Millions)","Quantity Index of GDP","Quantity Index of Capital Services","Quantity Index of ICT Capital Services","Quantity Index of Non-ICT Capital","Quantity Index of Labour","Quantity Index of Hours Worked","Total Cost of Capital and Labour (Millions)","Index of Multifactor Productivity","Index of Labour Productivity","Index of Capital Productivity","Index of Capital Intensity","Index of ICT Capital Intensity","Index of non-ICT Capital Intensity","Index of Labour Composition","Contribution of Capital Intensity","Contribution of ICT Capital Intensity","Contribution of non-ICT Capital Intensity","Contribution of Labour Composition"
"United States","21","Mining, oil and gas extraction",1995,72029,41007.3330698361,462.569614683714,40544.7634551524,31018.9640291962,307.260056596974,66.644609853749,96.7640027009272,13.3357185753364,98.2777706637502,96.2780283653051,109.806848979713,72026.2970990323,55.5277407871038,51.9064650970237,58.9029516647417,88.1220102389097,0.121447056347097,0.895005835946597,0.876794382680922,97.0654811410216,101.030146852081,98.1697053304673,96.3045127228063
"United States","21","Mining, oil and gas extraction",1996,85009,52338.9353776572,621.56102955112,51717.3743481061,32668.1688350463,304.236231239945,62.5716926490295,96.9296854092479,16.6255957081405,98.1875501497169,95.4326940913138,108.720876882087,85007.1042127035,52.2688927333608,49.2210427494432,55.208627843742,89.1546207030437,0.152919992782727,0.903115877700342,0.87777708226926,97.7378184345944,101.190145438603,98.689703848431,96.3484802765786
"United States","21","Mining, oil and gas extraction",1997,89507,53932,678,53254,35577,305.683,65.9342763310011,97.0421871409763,19.8505992817351,98.0813336439422,97.2932858802434,109.238309072117,89509,54.6250635065654,51.6204906379986,58.1080793508511,88.8353069223283,0.18171829507751,0.897865725651165,0.890651701831202,97.5244446967388,101.320185573351,98.3441111169802,96.8984180917275
"United States","21","Mining, oil and gas extraction",1998,77236,40832,578,40254,36405,292.228,69.845638927963,97.0300938025828,23.9127813908671,97.8066494319952,92.4229845718783,104.321866163912,77237,59.1751135957193,57.2597965106682,61.5628470927002,93.0103125744776,0.2292211812363,0.937546969091982,0.885940675434831,100.090892235594,101.497495975788,100.746450623969,96.6754359848055
"United States","21","Mining, oil and gas extraction",1999,80283,44871,513,44358,35411,276.096,67.476190062753,96.4069550037451,27.1774944029999,97.0271848317414,88.7689501971008,98.3945212279863,80282,58.433817463103,58.6496586943069,59.8588046597567,97.9800031552205,0.276209427758969,0.986103531180596,0.902173709361495,102.964524532814,101.628868286731,103.514841716639,97.4795714454737
"United States","21","Mining, oil and gas extraction",2000,104496,68031,617,67414,36464,260.24,59.9236899995308,95.5399382779157,28.8067441212525,96.0955976669277,84.069413472245,92.5735389543538,104495,53.3110695429197,55.3601853196181,53.6413186420337,103.204370662576,0.311176870265881,1.03804606318778,0.908136541195621,106.251822144791,101.703366049469,106.746365564249,97.7335677837581
"United States","21","Mining, oil and gas extraction",2001,117452,77767,584,77183,39684,264.687,69.617657209131,94.7830066646686,30.6227925533671,95.2841430369175,86.3806229151334,94.146790919001,117451,61.6824401661252,63.2411467042138,62.816650639749,100.675769975224,0.325266450979867,1.01208062544474,0.917510008274746,104.535287853837,101.727862381634,105.000050407097,98.0788286520734
"United States","21","Mining, oil and gas extraction",2002,107423,71083,422,70661,36338,239.543,72.6460371642182,93.0774827198329,31.6003680286512,93.5419930729269,77.5616189349415,84.7557710783176,107421,67.559366666052,73.304139898268,66.7502893155352,109.818460189367,0.372840310773071,1.10366517681127,0.915119029042537,110.726297747174,101.789680938665,111.154001293876,97.9923456891358
"United States","21","Mining, oil and gas extraction",2003,132422,94909,438,94471,37513,240.029,64.495509830878,91.4233653192277,32.525891993256,91.8594919830236,76.6761330809272,84.9275955363632,132422,60.9424802779075,64.9481080845465,60.3334457771955,107.648597304375,0.382983785044632,1.08162124928749,0.902841209581837,109.213752089922,101.799566925486,109.627060475527,97.5818509301597
"United States","21","Mining, oil and gas extraction",2004,158571,116502,475,116027,42068,261.611,64.5553051012274,90.6403652086415,36.4362784971049,91.0269978409045,83.8147045609107,92.2380618716163,158570,59.9003641047811,59.8559905487321,60.9110581903797,98.2678553402406,0.395024328978417,0.986870235495652,0.908678075625333,102.221314162034,101.809498544108,102.600383942486,97.754486798609
